CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.97,5.99,stafilia.jpg,Φρούτα,Kg,,ab,05-08-2025,11-08-2025
11,7063667,Τομάτες,1.75,3.75,ntomates.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
12,7063697,Τοματίνια,4.79,9.56,ntomatinia.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
13,7063652,Αγγούρια,0.55,1.49,aggouria.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
14,7063710,Κολοκύθια,1.07,2.69,kolokuthia.jpg,Λαχανικά,kg,,ab,05-08-2025,11-08-2025
15,7063845,Μαρούλια,0.67,2.49,maroulia.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
16,7338136,Ρόκα,1.39,1.39,roka.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
17.1,7064162,Πατάτες Κύπρου,1.63,1.63,patates_kuprou.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
17.2,7335944,Πατάτες εγχώριες,0.72,2.63,patates_egxories.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
18,7064239,Σκόρδα (κομμάτι),0.65,0.65,skorda.jpg,Λαχανικά,τμχ.,,ab,05-08-2025,11-08-2025
19,7064213,Κρεμμύδια ξερά,0.89,2.25,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
2,7062943,Λεμόνια,2.5,3.17,lemonia.jpg,Φρούτα,Kg,,ab,05-08-2025,11-08-2025
20,7064229,Κρεμμύδια φρέσκα,2.36,2.36,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
21,7063904,Σπανάκι,2.32,5.72,spanaki.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
22,7063905,Παντζάρια,1.43,4.5,pantzaria.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
23,7063924,Καρότα,0.78,2.09,karota.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
24,7063936,Ραπανάκια,0.82,0.82,rapanakia.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
25,7063804,Λάχανα,0.65,1.89,laxana.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
26,7063767,Κουνουπίδια,2.19,5.48,kounoupidia.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
27,7063823,Μπρόκολο,2.97,5.78,mprokolo.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
28.1,7063729,Πιπεριές χονδρές,2.49,2.73,piperies_xondres.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
28.2,7063738,Πιπεριές μακριές,2.55,2.55,piperies_makries.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
29,7063831,Μελιτζάνες,1.28,4.1,melitzanes.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
3,7063298,Μπανάνες,1.85,1.99,bananes.jpg,Φρούτα,Kg,,ab,05-08-2025,11-08-2025
30,7064307,Μαϊντανός,0.62,2.17,maintanos.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
31,7064310,Άνηθος,0.62,2.35,anithos.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
32,7064311,Σέλινο,1.68,2.99,selino.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
33,7063776,Φασολάκια ,3.13,3.13,fasolakia.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
4,7062871,Πορτοκάλια Βαλέντσια ,1.12,1.75,portokalia.jpg,Φρούτα,Kg,,ab,05-08-2025,11-08-2025
5,7062908,Μανταρίνια,1.98,2.52,mantarinia.jpg,Φρούτα,Kg,,ab,05-08-2025,11-08-2025
6,7125570,Αχλάδια,1.39,6.22,axladia.jpg,Φρούτα,Kg,,ab,05-08-2025,11-08-2025
7.1,7062828,Μήλα Golden Delicious,1.89,4.36,mila_golden_delicious.jpg,Φρούτα,Kg,,ab,05-08-2025,11-08-2025
7.2,7062840,Μήλα Granny Smith ,1.95,4.49,mila_granny_smith.jpg,Φρούτα,Kg,,ab,05-08-2025,11-08-2025
7.3,7633877,Μήλα Starkin Delicious,1.45,4.86,mila_starkin_delicious.jpg,Φρούτα,Kg,,ab,05-08-2025,11-08-2025
7.4,7062808,Μήλα Gala,1.95,4.15,mila_gala.jpg,Φρούτα,Kg,,ab,05-08-2025,11-08-2025
8,7063274,Ρόδια,2.29,2.71,rodia.jpg,Φρούτα,Kg,,ab,05-08-2025,11-08-2025
9,7064279,Μανιτάρια,1.42,1.42,manitaria.jpg,Λαχανικά,Kg,,ab,05-08-2025,11-08-2025
22,19002,Παντζάρια,1.6,1.6,19002.jpg,Λαχανικά,Kg,,bazaar,05-08-2025,11-08-2025
11,19004,Τομάτες,2.08,2.08,19004.jpg,Λαχανικά,Kg,,bazaar,05-08-2025,11-08-2025
14,19008,Κολοκύθια,0.96,0.96,19008.jpg,Λαχανικά,kg,,bazaar,05-08-2025,11-08-2025
2,19011,Λεμόνια,2.65,2.65,19011.jpg,Φρούτα,Kg,,bazaar,05-08-2025,11-08-2025
7.2,19023,Μήλα Granny Smith,2.4,2.4,19023.jpg,Φρούτα,Kg,,bazaar,05-08-2025,11-08-2025
26,19028,Κουνουπίδια,3.2,3.2,19028.jpg,Λαχανικά,Kg,,bazaar,05-08-2025,11-08-2025
29,19034,Μελιτζάνες,0.96,0.96,19034.jpg,Λαχανικά,Kg,,bazaar,05-08-2025,11-08-2025
28.2,19036,Πιπεριές μακριές,2.56,3.52,19036.jpg,Λαχανικά,Kg,,bazaar,05-08-2025,11-08-2025
6,19042,Αχλάδια,3.09,3.09,19042.jpg,Φρούτα,Kg,,bazaar,05-08-2025,11-08-2025
30,19044,Μαϊντανός,0.4,0.4,19044.jpg,Λαχανικά,Kg,,bazaar,05-08-2025,11-08-2025
31,19045,’νηθος,0.56,0.56,19045.jpg,Λαχανικά,Kg,,bazaar,05-08-2025,11-08-2025
21,19046,Σπανάκι,2.56,2.56,19046.jpg,Λαχανικά,Kg,,bazaar,05-08-2025,11-08-2025
13,19052,Αγγούρια,1.89,1.89,19052.jpg,Λαχανικά,Kg,,bazaar,05-08-2025,11-08-2025
32,19067,Σέλινο,0.4,0.4,19067.jpg,Λαχανικά,Kg,,bazaar,05-08-2025,11-08-2025
27,19076,Μπρόκολο,3.9,3.9,19076.jpg,Λαχανικά,Kg,,bazaar,05-08-2025,11-08-2025
0,19107,Φρούτα,1.28,1.28,19107.jpg,,,,bazaar,05-08-2025,11-08-2025
